"startwith";"contains";"endswith";"find";"replace";"rawmin";"rawmax";"engmin";"engmax";"unit";"format";"description";"alarmoption";"trendoption"
;;"_T._rValue";"_T._rValue";"_PV";0;40;0;40;"°C";"0.0";"Mätvärde";;
;;"_T._bErrorSensor";"_T._bErrorSensor";"_FAULT";;;;;;;"Givarfel";;
;;"_T._bErrorHighLimit";"_T._bErrorHighLimit";"_HAL";;;;;;;"Höglarm";;
;;"_T._bErrorLowLimit";"_T._bErrorLowLimit";"_LAL";;;;;;;"Låglarm";;
;;"_T._rHighLimit";"_T._rHighLimit";"_AHL";0;40;0;40;"°C";"0.0";"Larmgräns Hög";;
;;"_T._rLowLimit";"_T._rLowLimit";"_ALL";0;40;0;40;"°C";"0.0";"Larmgräns Låg";;
;;"_SetpointHC._rOutsideTemp1";"_SetpointHC._rOutsideTemp1";"_X1";-40;40;-40;40;"°C";"0.0";"Kurva X1";;
;;"_SetpointHC._rOutsideTemp2";"_SetpointHC._rOutsideTemp2";"_X2";-40;40;-40;40;"°C";"0.0";"Kurva X2";;
;;"_SetpointHC._rOutsideTemp3";"_SetpointHC._rOutsideTemp3";"_X3";-40;40;-40;40;"°C";"0.0";"Kurva X3";;
;;"_SetpointHC._rOutsideTemp4";"_SetpointHC._rOutsideTemp4";"_X4";-40;40;-40;40;"°C";"0.0";"Kurva X4";;
;;"_SetpointHC._rOutsideTemp5";"_SetpointHC._rOutsideTemp5";"_X5";-40;40;-40;40;"°C";"0.0";"Kurva X5";;
;;"_SetpointHC._rOutsideTemp6";"_SetpointHC._rOutsideTemp6";"_X6";-40;40;-40;40;"°C";"0.0";"Kurva X6";;
;;"_SetpointHC._rOutsideTemp7";"_SetpointHC._rOutsideTemp7";"_X7";-40;40;-40;40;"°C";"0.0";"Kurva X7";;
;;"_SetpointHC._rTempSetpoint1";"_SetpointHC._rTempSetpoint1";"_Y1";0;100;0;100;"°C";"0.0";"Kurva Y1";;
;;"_SetpointHC._rTempSetpoint2";"_SetpointHC._rTempSetpoint2";"_Y2";0;100;0;100;"°C";"0.0";"Kurva Y2";;
;;"_SetpointHC._rTempSetpoint3";"_SetpointHC._rTempSetpoint3";"_Y3";0;100;0;100;"°C";"0.0";"Kurva Y3";;
;;"_SetpointHC._rTempSetpoint4";"_SetpointHC._rTempSetpoint4";"_Y4";0;100;0;100;"°C";"0.0";"Kurva Y4";;
;;"_SetpointHC._rTempSetpoint5";"_SetpointHC._rTempSetpoint5";"_Y5";0;100;0;100;"°C";"0.0";"Kurva Y5";;
;;"_SetpointHC._rTempSetpoint6";"_SetpointHC._rTempSetpoint6";"_Y6";0;100;0;100;"°C";"0.0";"Kurva Y6";;
;;"_SetpointHC._rTempSetpoint7";"_SetpointHC._rTempSetpoint7";"_Y7";0;100;0;100;"°C";"0.0";"Kurva Y7";;
;;"_SetpointHC._rMaxLimit";"_SetpointHC._rMaxLimit";"_MAX";0;100;0;100;"°C";"0.0";"Maxbegränsning";;
;;"_SetpointHC._rMinLimit";"_SetpointHC._rMinLimit";"_MIN";0;100;0;100;"°C";"0.0";"Minbegränsning";;
;;"_SetpointHC._rGeneratedSetpoint";"_SetpointHC._rGeneratedSetpoint";"_CSP";0;100;0;100;"°C";"0.0";"Beräknat börvärde";;
;;"_PID._rW";"_PID._rW";"_SP";0;100;0;100;"°C";"0.0";"Börvärde";;
;;"_PID._rKp";"_PID._rKp";"_P";;;;;;;"Förstärkning";;
;;"_PID._rTi";"_PID._rTi";"_I";;;;;"ms";;"I-tid";;
;;"_PID._rTd";"_PID._rTd";"_D";;;;;"ms";;"D-tid";;
;;"_Tex2._rValue";"_Tex2._rValue";"_PV";0;40;0;40;"°C";"0.0";"Mätvärde";;
;;"_Tex2._bErrorSensor";"_Tex2._bErrorSensor";"_FAULT";;;;;;;"Givarfel";;
;;"_Tex2._bErrorHighLimit";"_Tex2._bErrorHighLimit";"_HAL";;;;;;;"Höglarm";;
;;"_Tex2._bErrorLowLimit";"_Tex2._bErrorLowLimit";"_LAL";;;;;;;"Låglarm";;
;;"_Tex2._rHighLimit";"_Tex2._rHighLimit";"_AHL";0;40;0;40;"°C";"0.0";"Larmgräns Hög";;
;;"_Tex2._rLowLimit";"_Tex2._rLowLimit";"_ALL";0;40;0;40;"°C";"0.0";"Larmgräns Låg";;
